#rno	endheads
1	42.261122
2	42.256474
3	42.252064000000004
4	42.24785
5	42.243826
6	42.239965999999995
7	42.236266
8	42.232748
9	42.22939
10	42.226178
11	42.223112
12	42.220204
13	42.217438
14	42.214808
15	42.212302
16	42.209925999999996
17	42.207664
18	42.205518
19	42.203472000000005
20	42.201513999999996
21	42.199631999999994
22	42.19781999999999
23	42.196070000000006
24	42.194376000000005
25	42.192732
26	42.191134000000005
27	42.18959
28	42.188098
29	42.18666
30	42.185283999999996
31	42.18397
32	42.182706
33	42.181504000000004
34	42.18037
35	42.179334000000004
36	42.178399999999996
37	42.177564
38	42.176840000000006
39	42.176204
40	42.175662
41	42.175194
42	42.174786000000005
43	42.174429999999994
44	42.17412
45	42.173832
46	42.173568
47	42.17331800000001
48	42.173078
49	42.172848
50	42.172624
51	42.17241
52	42.1722
53	42.171997999999995
54	42.1718
55	42.17161
56	42.171423999999995
57	42.171246000000004
58	42.171074
59	42.17090399999999
60	42.17073800000001
61	42.170584
62	42.17043
63	42.170284
64	42.170144
65	42.170010000000005
66	42.16988
67	42.169760000000004
68	42.169641999999996
69	42.169532
70	42.16943
71	42.169329999999995
72	42.169239999999995
73	42.169149999999995
74	42.169067999999996
75	42.16899
76	42.168912
77	42.168842
78	42.168780000000005
79	42.16872
80	42.168662
81	42.168609999999994
82	42.16856000000001
83	42.168519999999994
84	42.16847799999999
85	42.16844
86	42.1684
87	42.16837
88	42.16833999999999
89	42.16831
90	42.16828600000001
91	42.16826
92	42.168240000000004
93	42.16822
94	42.16820800000001
95	42.16819
96	42.16818
97	42.168167999999994
98	42.16815999999999
99	42.168150000000004
100	42.16814
101	42.168138
102	42.16813
103	42.168128
104	42.16812
105	42.16812
106	42.16811800000001
107	42.168114
108	42.168110000000006
109	42.168110000000006
110	42.168110000000006
111	42.168110000000006
112	42.168110000000006
113	42.168110000000006
114	42.168110000000006
115	42.168110000000006
116	42.168110000000006
